Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
-5626.425817778804,-187500.02235174447,8096.718263234886,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0370495
-5580.872962578888,-187500.02235174447,8111.313952364201,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0410461
-5577.900180566333,-187500.02235174447,8111.001027941827,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.04407
-5622.044875865564,-187500.02235174447,8093.924295177972,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.04814
-5629.376248046905,-187500.02235174447,8086.12353636307,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0521228
-5588.986645816165,-187500.02235174447,8101.79210922624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.056178
-5560.24230244664,-187500.02235174447,8104.69783600543,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0602047
-5608.455015236737,-187500.02235174447,8082.636664228042,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0651703
-5634.830073694,-187500.02235174447,8086.704681718908,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0691857
-5608.410311747827,-187500.02235174447,8102.328551093167,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.072173
-5577.140221254853,-187500.02235174447,8123.875632748084,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0762005
-5602.911782611822,-187500.02235174447,8111.738635508852,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0802028
-5640.216844107729,-187500.02235174447,8102.4626615599,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0842395
-5604.521108212603,-187500.02235174447,8117.326571622679,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0882165
-5560.823447802478,-187500.02235174447,8122.311010636212,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0932024
-5581.699977123735,-187500.02235174447,8100.227487114369,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0972335
-5646.520036044126,-187500.02235174447,8083.262513072791,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.100232
