x,y,z,time_board,time_marker,marker
0.084,-0.302,0.9380000000000001,1728432666.0040216,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040317,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040412,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040517,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040612,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.004071,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040808,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0040913,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.0041008,1728432666.716592,1000
0.084,-0.302,0.9380000000000001,1728432666.004114,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041237,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041332,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041428,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041528,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041623,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041716,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041816,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0041914,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0042012,1728432666.716592,1000
0.128,-0.28800000000000003,0.798,1728432666.0042107,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042205,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.00423,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042396,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.004249,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042589,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042684,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.004278,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042875,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0042973,1728432666.716592,1000
0.108,-0.24,0.882,1728432666.0043068,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043163,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043287,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043387,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043485,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.004358,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.004367,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043771,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0043867,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.004396,1728432666.716592,1000
0.112,-0.23600000000000002,0.978,1728432666.0044053,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044153,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044248,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044425,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.004452,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044615,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044727,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044858,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0044985,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0045097,1728432666.716592,1000
0.106,-0.226,0.984,1728432666.0045197,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.004529,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0045383,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0045516,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0045624,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.004572,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0045817,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0046077,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0046172,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.0046265,1728432666.716592,1000
0.098,-0.226,1.002,1728432666.004636,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0046463,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0046558,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0046651,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.004675,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0046844,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.004694,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0047033,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0047128,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.0047224,1728432666.716592,1000
0.094,-0.224,1.012,1728432666.4827309,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4828758,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831285,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.483136,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.483153,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831607,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831681,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831755,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831827,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831896,1728432666.716592,1000
0.094,-0.222,1.014,1728432666.4831972,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832044,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832115,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.483219,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.483226,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832335,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832406,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832475,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.483255,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832623,1728432666.716592,1000
0.096,-0.22,1.012,1728432666.4832697,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4832766,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.483284,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4832911,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4832983,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4833057,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4833152,1728432666.716592,1000
0.096,-0.22,1.018,1728432666.4833224,1728432666.716592,1000
